 	is01	is02	is03	predicted
Retention Indices				
methionine_218 M4	0	0	0	0.001777
methionine_218 M5	0.787998	0.790398	0.788961	0.000158
methionine_218 M6	0.108698	0.107259	0.10823	8.00E-06
methionine_218 M7	0.069242	0.068681	0.069031	0
methionine_218 M8	0.007039	0.007168	0.006984	0
methionine_218 M9	0.001978	0.001858	0.001772	0
methionine_218 M10	0.000261	0.000263	0.000255	0
methionine_218 M11	0	0	0	0
methionine_218 M12_Full_NC	7.60E-05	0	0	0
				
phenylalanine_234 M0	0.000807	0.000728	0.000886	0.788248
phenylalanine_234 M1	0.00051	0.000572	0.000539	0.164469
phenylalanine_234 M2	0	0	0	0.041876
phenylalanine_234 M3	0	7.60E-05	8.60E-05	0.00505
phenylalanine_234 M4	0.000173	0.000127	0.000112	0.000342
phenylalanine_234 M5	0.000223	0	0.000311	1.50E-05
phenylalanine_234 M6	0.001049	0.000972	0.00098	0
phenylalanine_234 M7	0.007662	0.007399	0.007766	0
phenylalanine_234 M8	0.07596	0.075343	0.075674	0
phenylalanine_234 M9	0.73846	0.740254	0.738971	0
phenylalanine_234 M10	0.093726	0.093376	0.093961	0
phenylalanine_234 M11	0.030907	0.031135	0.030999	0
phenylalanine_234 M12	0.00252	0.002518	0.002528	0
phenylalanine_234 M13	0.005101	0.00497	0.004566	0
phenylalanine_234 M14	0.031547	0.031383	0.031477	0
phenylalanine_234 M15	0.007738	0.00752	0.007511	0
phenylalanine_234 M16	0.002956	0.00296	0.002928	0
phenylalanine_234 M17	0.000509	0.000514	0.000541	0
phenylalanine_234 M18_Full_NC	0.000153	0.000153	0.000164	0
				
phenylalanine_302 M0	0.001	0.001051	0.001102	0.722805
phenylalanine_302 M1	0	0	0	0.188732
phenylalanine_302 M2	0	0	0	0.073539
phenylalanine_302 M3	0.726449	0.730086	0.728911	0.012522
phenylalanine_302 M4	0.18509	0.183115	0.183524	0.002146
phenylalanine_302 M5	0.073387	0.072201	0.072849	0.000237
phenylalanine_302 M6	0.011831	0.011403	0.011484	2.00E-05
phenylalanine_302 M7_Full_NC	0.002244	0.002143	0.002129	1.00E-06
				
phenylalanine_308 M0	0.023615	0.022699	0.022787	0.709796
phenylalanine_308 M1	0.00448	0.004266	0.004225	0.199766
phenylalanine_308 M2	0.000641	0.00067	0.001432	0.074588
phenylalanine_308 M3	0	0	0.000474	0.013371
phenylalanine_308 M4	0	0	0.000328	0.002211
phenylalanine_308 M5	0.000749	0.000386	0	0.000249
phenylalanine_308 M6	0	0	0.000381	2.00E-05
phenylalanine_308 M7	0.003221	0	0	1.00E-06
phenylalanine_308 M8	0.06782	0.068222	0.067895	0
phenylalanine_308 M9	0.691535	0.695935	0.694729	0
phenylalanine_308 M10	0.138067	0.138606	0.137343	0
